Dataset:  ACM
Epoch:0 Loss:0.69309600
Epoch:1 Loss:0.67365554
Epoch:2 Loss:0.60129347
Epoch:3 Loss:0.58046544
Epoch:4 Loss:0.56075924
Epoch:5 Loss:0.54038016
Epoch:6 Loss:0.51618053
Epoch:7 Loss:0.49427573
Epoch:8 Loss:0.47610686
Epoch:9 Loss:0.46021520
Epoch:10 Loss:0.44488942
Epoch:11 Loss:0.43834029
Epoch:12 Loss:0.42557450
Epoch:13 Loss:0.41525607
Epoch:14 Loss:0.40932985
Epoch:15 Loss:0.40235878
Epoch:16 Loss:0.39246426
Epoch:17 Loss:0.38917654
Epoch:18 Loss:0.38448290
Epoch:19 Loss:0.37870162
Epoch:20 Loss:0.36730162
Epoch:21 Loss:0.36110517
Epoch:22 Loss:0.36541276
Epoch:23 Loss:0.35150183
Epoch:24 Loss:0.35458978
Epoch:25 Loss:0.34836624
Epoch:26 Loss:0.34756345
Epoch:27 Loss:0.33846024
Epoch:28 Loss:0.33468499
Epoch:29 Loss:0.33522694
Epoch:30 Loss:0.32984251
Epoch:31 Loss:0.32964704
Epoch:32 Loss:0.32092947
Epoch:33 Loss:0.32152628
Epoch:34 Loss:0.31792854
Epoch:35 Loss:0.31132051
Epoch:36 Loss:0.31262800
Epoch:37 Loss:0.30991072
Epoch:38 Loss:0.30393815
Epoch:39 Loss:0.30204049
Epoch:40 Loss:0.30394145
Epoch:41 Loss:0.30093001
Epoch:42 Loss:0.30248952
Epoch:43 Loss:0.29625077
Epoch:44 Loss:0.29833756
Epoch:45 Loss:0.29499998
Epoch:46 Loss:0.28953269
Epoch:47 Loss:0.29441030
Epoch:48 Loss:0.29492596
Epoch:49 Loss:0.29174660
Epoch:50 Loss:0.28682894
Epoch:51 Loss:0.28388311
Epoch:52 Loss:0.28219049
Epoch:53 Loss:0.28437691
Epoch:54 Loss:0.28043791
Epoch:55 Loss:0.27751498
Epoch:56 Loss:0.27922796
Epoch:57 Loss:0.27748930
Epoch:58 Loss:0.27563509
Epoch:59 Loss:0.28089115
Epoch:60 Loss:0.27997285
Epoch:61 Loss:0.27899978
Epoch:62 Loss:0.27320607
Epoch:63 Loss:0.26750558
Epoch:64 Loss:0.27076056
Epoch:65 Loss:0.26920805
Epoch:66 Loss:0.26749167
Epoch:67 Loss:0.26527278
Epoch:68 Loss:0.26712721
Epoch:69 Loss:0.26823065
Epoch:70 Loss:0.26140126
Epoch:71 Loss:0.26456739
Epoch:72 Loss:0.27012956
Epoch:73 Loss:0.26425320
Epoch:74 Loss:0.26406356
Epoch:75 Loss:0.26292879
Epoch:76 Loss:0.26571897
Epoch:77 Loss:0.25898211
Epoch:78 Loss:0.26145691
Epoch:79 Loss:0.26108079
Epoch:80 Loss:0.25578196
Epoch:81 Loss:0.25684705
Epoch:82 Loss:0.25657025
Epoch:83 Loss:0.25460602
Epoch:84 Loss:0.25588213
Epoch:85 Loss:0.25651580
Epoch:86 Loss:0.25478515
Epoch:87 Loss:0.24989310
Epoch:88 Loss:0.25462718
Epoch:89 Loss:0.24641583
Epoch:90 Loss:0.25157696
Epoch:91 Loss:0.25563699
Epoch:92 Loss:0.25158146
Epoch:93 Loss:0.24945423
Epoch:94 Loss:0.24768401
Epoch:95 Loss:0.25275824
Epoch:96 Loss:0.24690202
Epoch:97 Loss:0.24722337
Epoch:98 Loss:0.25107547
Epoch:99 Loss:0.24503658

 Contrast Score Margin:2.11605
AUC:0.7806

 run time: 
00:50:18.563
