Dataset:  BlogCatalog
Epoch:0 Loss:0.69314720
Epoch:1 Loss:0.69314706
Epoch:2 Loss:0.69314676
Epoch:3 Loss:0.69314579
Epoch:4 Loss:0.69313228
Epoch:5 Loss:0.69280367
Epoch:6 Loss:0.69021662
Epoch:7 Loss:0.68219243
Epoch:8 Loss:0.66732937
Epoch:9 Loss:0.66263070
Epoch:10 Loss:0.65701411
Epoch:11 Loss:0.65480060
Epoch:12 Loss:0.65128816
Epoch:13 Loss:0.64823301
Epoch:14 Loss:0.64538918
Epoch:15 Loss:0.64892195
Epoch:16 Loss:0.64786531
Epoch:17 Loss:0.64783665
Epoch:18 Loss:0.64497784
Epoch:19 Loss:0.64558124
Epoch:20 Loss:0.64474742
Epoch:21 Loss:0.64087429
Epoch:22 Loss:0.63861133
Epoch:23 Loss:0.63516299
Epoch:24 Loss:0.63811376
Epoch:25 Loss:0.63634114
Epoch:26 Loss:0.63285892
Epoch:27 Loss:0.63463404
Epoch:28 Loss:0.62982889
Epoch:29 Loss:0.62644788
Epoch:30 Loss:0.63242146
Epoch:31 Loss:0.62884956
Epoch:32 Loss:0.62664821
Epoch:33 Loss:0.62478899
Epoch:34 Loss:0.62485771
Epoch:35 Loss:0.61816314
Epoch:36 Loss:0.62246325
Epoch:37 Loss:0.61633577
Epoch:38 Loss:0.61973156
Epoch:39 Loss:0.62222961
Epoch:40 Loss:0.61855878
Epoch:41 Loss:0.61917266
Epoch:42 Loss:0.61336005
Epoch:43 Loss:0.61324644
Epoch:44 Loss:0.61517344
Epoch:45 Loss:0.61403591
Epoch:46 Loss:0.61101061
Epoch:47 Loss:0.61583454
Epoch:48 Loss:0.61351844
Epoch:49 Loss:0.61413722
Epoch:50 Loss:0.61109049
Epoch:51 Loss:0.60448644
Epoch:52 Loss:0.60576295
Epoch:53 Loss:0.60657249
Epoch:54 Loss:0.61136750
Epoch:55 Loss:0.59983334
Epoch:56 Loss:0.60555881
Epoch:57 Loss:0.60394394
Epoch:58 Loss:0.60442275
Epoch:59 Loss:0.60209037
Epoch:60 Loss:0.60176886
Epoch:61 Loss:0.59781196
Epoch:62 Loss:0.60265897
Epoch:63 Loss:0.59945644
Epoch:64 Loss:0.60131606
Epoch:65 Loss:0.59680767
Epoch:66 Loss:0.59642392
Epoch:67 Loss:0.59665801
Epoch:68 Loss:0.59559860
Epoch:69 Loss:0.59502297
Epoch:70 Loss:0.59576607
Epoch:71 Loss:0.59688744
Epoch:72 Loss:0.59689872
Epoch:73 Loss:0.59364581
Epoch:74 Loss:0.59428466
Epoch:75 Loss:0.59363265
Epoch:76 Loss:0.58758240
Epoch:77 Loss:0.59466802
Epoch:78 Loss:0.59278095
Epoch:79 Loss:0.58976730
Epoch:80 Loss:0.59067081
Epoch:81 Loss:0.59297502
Epoch:82 Loss:0.58539140
Epoch:83 Loss:0.58969170
Epoch:84 Loss:0.58831367
Epoch:85 Loss:0.59106035
Epoch:86 Loss:0.59411213
Epoch:87 Loss:0.58582010
Epoch:88 Loss:0.58722366
Epoch:89 Loss:0.58780463
Epoch:90 Loss:0.58492895
Epoch:91 Loss:0.58207653
Epoch:92 Loss:0.58432307
Epoch:93 Loss:0.58134655
Epoch:94 Loss:0.57909173
Epoch:95 Loss:0.58850231
Epoch:96 Loss:0.58335598
Epoch:97 Loss:0.58061916
Epoch:98 Loss:0.58399511
Epoch:99 Loss:0.58273468

 Contrast Score Margin:1.32547
AUC:0.6929

 run time: 
00:17:39.743
