seed,alpha,eta,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
2,0.4,9,0.7400,,2.00189,1.65324,2.56452,6.824544429779053,6.282506465911865
2,0.4,10,0.7402,,1.95855,1.75655,2.69743,6.76004695892334,6.266496658325195
2,0.5,0,0.6789,,1.73904,1.04403,1.21520,5.377626419067383,4.395993709564209
2,0.5,1,0.7628,,1.91449,1.80243,2.69088,7.3377838134765625,7.107424259185791
2,0.5,2,0.7742,,1.79344,1.79738,2.70507,6.699609756469727,6.559116363525391
2,0.5,3,0.7715,,1.98137,1.76450,2.64845,6.84075403213501,6.655691623687744
2,0.5,4,0.7696,,1.98888,1.73934,2.62707,6.895856857299805,6.695627212524414
2,0.5,5,0.7667,,1.78144,1.74090,2.66126,6.989086151123047,6.70672607421875
2,0.5,6,0.7656,,1.98713,1.74558,2.66922,7.085437297821045,6.712213516235352
2,0.5,7,0.7642,,2.03350,1.75649,2.65455,7.1065354347229,6.70821475982666
2,0.5,8,0.7624,,2.04099,1.73823,2.63445,7.1917195320129395,6.700986385345459
2,0.5,9,0.7611,,2.04139,1.73493,2.63378,7.134184837341309,6.693366527557373
2,0.5,10,0.7597,,2.04707,1.72503,2.62512,7.115315914154053,6.680819988250732
2,0.6,0,0.6977,,1.73903,1.04398,1.21434,5.659754753112793,5.246662139892578
2,0.6,1,0.7838,,1.81479,1.79386,2.69086,7.5699639320373535,7.430994510650635
2,0.6,2,0.7999,,1.97009,1.77028,2.64254,7.148745059967041,6.996219158172607
2,0.6,3,0.7983,,2.00311,1.78637,2.65984,7.3828277587890625,7.0691914558410645
2,0.6,4,0.7971,,2.00458,1.76976,2.64182,7.372305870056152,7.097159385681152
2,0.6,5,0.7929,,2.02228,1.73449,2.61112,7.367272853851318,7.114468097686768
2,0.6,6,0.7917,,2.03279,1.72970,2.60901,7.366608619689941,7.116165637969971
2,0.6,7,0.7887,,1.77707,1.67773,2.59491,7.3965630531311035,7.111067295074463
2,0.6,8,0.7877,,1.78905,1.71499,2.63612,7.457456111907959,7.106356143951416
2,0.6,9,0.7866,,2.04443,1.70879,2.59795,7.441796779632568,7.099386215209961
2,0.6,10,0.7728,,2.06303,1.74869,2.63696,7.4716267585754395,7.087758541107178
2,0.7,0,0.6781,,1.73900,1.04394,1.21426,6.675117492675781,6.123438835144043
2,0.7,1,0.8162,,1.81588,1.61332,2.48151,7.957968235015869,7.755756855010986
2,0.7,2,0.8387,,1.81051,1.44260,2.24955,7.590575218200684,7.428594589233398
2,0.7,3,0.8356,,1.95545,1.47121,2.24658,7.62421989440918,7.485266208648682
2,0.7,4,0.8330,,1.81670,1.45358,2.27297,7.711623191833496,7.508495807647705
2,0.7,5,0.8312,,1.80395,1.43481,2.25947,7.738685131072998,7.516625881195068
2,0.7,6,0.8297,,1.97529,1.42006,2.24680,7.739675998687744,7.521687030792236
2,0.7,7,0.8280,,1.78643,1.40398,2.23037,7.7900614738464355,7.515609264373779
2,0.7,8,0.8267,,1.78708,1.37842,2.20362,7.84434175491333,7.513001918792725
2,0.7,9,0.8247,,1.78561,1.37115,2.19404,7.793430805206299,7.506347179412842
2,0.7,10,0.8237,,1.78180,1.37587,2.20191,7.841573238372803,7.500137805938721
2,0.8,0,0.6930,,1.73900,1.04393,1.21428,7.347527027130127,6.999830722808838
2,0.8,1,0.8681,,1.86731,1.11027,1.78798,8.261073112487793,8.08222770690918
2,0.8,2,0.8936,,1.85095,0.97765,1.57214,8.020605087280273,7.864266395568848
2,0.8,3,0.8904,,1.76547,0.99371,1.65617,8.060497283935547,7.896817207336426
2,0.8,4,0.8883,,1.75705,0.99449,1.65670,8.119579315185547,7.915764331817627
2,0.8,5,0.8855,,1.75643,0.99861,1.66663,8.12484073638916,7.922865390777588
2,0.8,6,0.8854,,1.87944,0.98958,1.65848,8.1649169921875,7.924920558929443
2,0.8,7,0.8842,,1.90397,0.98383,1.56214,8.154277801513672,7.923333644866943
2,0.8,8,0.8831,,1.73918,0.97666,1.64634,8.136224746704102,7.91896915435791
2,0.8,9,0.8820,,1.75009,0.97483,1.63961,8.178533554077148,7.91493558883667
2,0.8,10,0.8812,,1.73362,0.96478,1.63198,8.133036613464355,7.911276340484619
2,0.9,0,0.6982,,1.73900,1.04390,1.21420,8.117587089538574,7.859116554260254
2,0.9,1,0.9366,,1.72671,0.86976,1.32584,8.557114601135254,8.407023429870605
2,0.9,2,0.9408,,1.71873,0.88439,1.28094,8.431169509887695,8.29781436920166
2,0.9,3,0.9396,,1.68723,0.88011,1.33714,8.49405574798584,8.316339492797852
2,0.9,4,0.9385,,1.73223,0.87793,1.26961,8.497382164001465,8.324810981750488
2,0.9,5,0.9370,,1.69491,0.87542,1.32545,8.50979995727539,8.327561378479004
2,0.9,6,0.9360,,1.73524,0.87270,1.25665,8.489219665527344,8.328831672668457
2,0.9,7,0.9347,,1.73604,0.87136,1.24996,8.527649879455566,8.32823657989502
2,0.9,8,0.9336,,1.73600,0.87067,1.24647,8.473167419433594,8.326571464538574
2,0.9,9,0.9324,,1.73638,0.86975,1.24198,8.514906883239746,8.324825286865234
2,0.9,10,0.9315,,1.73570,0.86969,1.23799,8.497601509094238,8.322437286376953
2,0.99,0,0.7101,,1.73898,1.04387,1.21416,8.851007461547852,8.644659996032715
2,0.99,1,0.8264,,1.74169,1.02876,1.23310,8.840678215026855,8.699360847473145
2,0.99,2,0.8115,,1.74172,1.03308,1.22823,8.81435489654541,8.688404083251953
2,0.99,3,0.8122,,1.74209,1.03367,1.22830,8.882593154907227,8.690278053283691
2,0.99,4,0.8132,,1.74232,1.03387,1.22880,8.824675559997559,8.691082000732422
2,0.99,5,0.8123,,1.74260,1.03468,1.22848,8.829553604125977,8.691460609436035
2,0.99,6,0.8118,,1.74285,1.03527,1.22858,8.833769798278809,8.69156551361084
2,0.99,7,0.8136,,1.74280,1.03467,1.22949,8.870597839355469,8.692081451416016
2,0.99,8,0.8101,,1.74331,1.03662,1.22857,8.89986515045166,8.691417694091797
2,0.99,9,0.8112,,1.74332,1.03624,1.22905,8.807563781738281,8.69124984741211
2,0.99,10,0.8117,,1.74331,1.03614,1.22944,8.865660667419434,8.69108772277832
2,1.0,0,0.7387,,1.73898,1.04388,1.21416,8.864357948303223,8.731741905212402
2,1.0,1,0.7387,,1.73898,1.04388,1.21416,8.909784317016602,8.731741905212402
2,1.0,2,0.7387,,1.73898,1.04388,1.21416,8.864485740661621,8.731741905212402
2,1.0,3,0.7387,,1.73898,1.04388,1.21416,8.85489273071289,8.731741905212402
2,1.0,4,0.7387,,1.73898,1.04388,1.21416,8.859871864318848,8.731741905212402
2,1.0,5,0.7387,,1.73898,1.04388,1.21416,8.877918243408203,8.731741905212402
2,1.0,6,0.7407,,1.73898,1.04388,1.21416,8.856657981872559,8.731741905212402
2,1.0,7,0.7387,,1.73898,1.04388,1.21416,8.87269401550293,8.731741905212402
2,1.0,8,0.7387,,1.73898,1.04388,1.21416,8.87471866607666,8.731741905212402
2,1.0,9,0.7387,,1.73898,1.04388,1.21416,8.878386497497559,8.731741905212402
2,1.0,10,0.7387,,1.73898,1.04388,1.21416,8.900930404663086,8.731741905212402
