alpha,beta,gamma,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
0.9,0.3,0.9,0.8736,,2.74977,1.62405,1.35325,1.203141156459736,0.3958226173068082
0.9,0.3,0.99,0.8747,,2.71888,1.61464,1.34594,1.2194859869744565,0.40697395640305295
0.9,0.3,1.0,0.8741,,2.71202,1.62175,1.35382,1.2212912956801913,0.4084195941820996
0.9,0.4,0,0.8954,,2.47766,1.36768,0.98210,0.9902057520863814,0.23668718862039104
0.9,0.4,0.001,0.8828,,2.39166,1.33404,0.94018,0.9903882775250805,0.23908793576888074
0.9,0.4,0.1,0.8647,,2.36355,1.27395,0.83989,1.0083647962085185,0.24255523408071966
0.9,0.4,0.2,0.8623,,2.39710,1.30975,0.90729,1.0265236201858177,0.26329660859056375
0.9,0.4,0.3,0.8549,,2.44819,1.35763,1.01311,1.044681404817201,0.288230694044378
0.9,0.4,0.4,0.8513,,2.61927,1.58062,1.26915,1.0628401576344015,0.30848845014494747
0.9,0.4,0.5,0.8630,,2.74990,1.69569,1.41614,1.0809974529594855,0.3278429356107204
0.9,0.4,0.6,0.8697,,2.85296,1.78236,1.52573,1.0991586086661886,0.3451083498403121
0.9,0.4,0.7,0.8724,,2.90625,1.80303,1.56049,1.1173118127155561,0.36061897691141065
0.9,0.4,0.8,0.8744,,2.91293,1.81263,1.57980,1.1354735400678877,0.37613906889374565
0.9,0.4,0.9,0.8768,,2.91595,1.85234,1.62607,1.1536304846446293,0.39024198581981057
0.9,0.4,0.99,0.8798,,2.89021,1.84723,1.62376,1.1699801503913267,0.40242731173474905
0.9,0.4,1.0,0.8793,,2.88450,1.83903,1.61752,1.171775365434755,0.4051975589060805
0.9,0.5,0,0.9038,,2.44144,1.35693,0.98715,0.940695438221621,0.2235282082429762
0.9,0.5,0.001,0.8927,,2.34549,1.32701,0.95177,0.940878269960474,0.22718347893898502
0.9,0.5,0.1,0.8714,,2.24333,1.21186,0.76930,0.9588543193312353,0.22577504763955786
0.9,0.5,0.2,0.8695,,2.29195,1.28565,0.87149,0.9770136130511814,0.24499770861901712
0.9,0.5,0.3,0.8610,,2.26059,1.25198,0.88202,0.9951741099357605,0.2682809156002065
0.9,0.5,0.4,0.8562,,2.38214,1.36138,1.04554,1.013331366617256,0.2922898902884467
0.9,0.5,0.5,0.8550,,2.57339,1.60886,1.32864,1.031488914012479,0.31335163594797133
0.9,0.5,0.6,0.8645,,2.72105,1.75876,1.51400,1.0496513569430255,0.33214146043933973
0.9,0.5,0.7,0.8710,,2.84667,1.88633,1.67118,1.067804903356313,0.34967490479793495
0.9,0.5,0.8,0.8743,,2.95796,2.03062,1.83568,1.0859683398409294,0.3671932254856615
0.9,0.5,0.9,0.8761,,3.04475,2.15642,1.97613,1.1041252787205633,0.38404484247709847
0.9,0.5,0.99,0.8776,,3.05185,2.16743,1.99521,1.1204728633030994,0.3959636394508902
0.9,0.5,1.0,0.8776,,3.04117,2.14264,1.96982,1.1222811009671045,0.39704404506627455
0.9,0.6,0,0.9070,,2.40936,1.33564,0.98848,0.8911851566046396,0.21035971905703582
0.9,0.6,0.001,0.8966,,2.29808,1.29191,0.94107,0.8913683049091893,0.21457893337560624
0.9,0.6,0.1,0.8728,,2.13306,1.15730,0.71656,0.9093450592163987,0.21035701270249643
0.9,0.6,0.2,0.8728,,2.17753,1.22342,0.80748,0.9275043653517397,0.22867057474482907
0.9,0.6,0.3,0.8664,,2.17359,1.22173,0.84036,0.9456620590981328,0.2500263511919567
0.9,0.6,0.4,0.8594,,2.19041,1.22269,0.89174,0.9638208175586944,0.27371692254373464
0.9,0.6,0.5,0.8595,,2.37786,1.42030,1.14874,0.9819789636339338,0.29673229535492396
0.9,0.6,0.6,0.8575,,2.51080,1.62564,1.38309,1.00014072285782,0.31805897925327875
0.9,0.6,0.7,0.8659,,2.67907,1.81347,1.61881,1.0182946014232308,0.33737675207385726
0.9,0.6,0.8,0.8727,,2.78731,1.89915,1.73055,1.0364581750684003,0.35494848349483515
0.9,0.6,0.9,0.8757,,2.93313,2.07260,1.92675,1.054612793290368,0.3723213951312496
0.9,0.6,0.99,0.8771,,3.03485,2.21528,2.08729,1.0709584747164824,0.38813435133778373
0.9,0.6,1.0,0.8768,,3.06700,2.24533,2.11841,1.0727679775683487,0.388492062083228
0.9,0.7,0,0.9072,,2.40016,1.31766,0.99727,0.841674804150037,0.19632868556099178
0.9,0.7,0.001,0.8926,,2.30883,1.31633,1.00054,0.8418582929373862,0.20392613237886625
0.9,0.7,0.1,0.8679,,2.08707,1.16405,0.73060,0.8598347045044517,0.19286023546598105
