Dataset:  cora
Epoch:0 Loss:0.69314696
Epoch:1 Loss:0.69314101
Epoch:2 Loss:0.69313237
Epoch:3 Loss:0.69311118
Epoch:4 Loss:0.69306788
Epoch:5 Loss:0.69295923
Epoch:6 Loss:0.69271361
Epoch:7 Loss:0.69210535
Epoch:8 Loss:0.69079391
Epoch:9 Loss:0.68838730
Epoch:10 Loss:0.68447362
Epoch:11 Loss:0.67767626
Epoch:12 Loss:0.66972706
Epoch:13 Loss:0.65912920
Epoch:14 Loss:0.65311672
Epoch:15 Loss:0.64126009
Epoch:16 Loss:0.63084720
Epoch:17 Loss:0.62735744
Epoch:18 Loss:0.62336837
Epoch:19 Loss:0.62110992
Epoch:20 Loss:0.61945937
Epoch:21 Loss:0.61403448
Epoch:22 Loss:0.61416483
Epoch:23 Loss:0.60741154
Epoch:24 Loss:0.60343452
Epoch:25 Loss:0.60176844
Epoch:26 Loss:0.59523275
Epoch:27 Loss:0.59726328
Epoch:28 Loss:0.59806915
Epoch:29 Loss:0.59054031
Epoch:30 Loss:0.58877385
Epoch:31 Loss:0.59023282
Epoch:32 Loss:0.58118165
Epoch:33 Loss:0.58736669
Epoch:34 Loss:0.57656659
Epoch:35 Loss:0.57175032
Epoch:36 Loss:0.56897207
Epoch:37 Loss:0.57147493
Epoch:38 Loss:0.56875599
Epoch:39 Loss:0.56726422
Epoch:40 Loss:0.55969822
Epoch:41 Loss:0.56417245
Epoch:42 Loss:0.55793308
Epoch:43 Loss:0.55252163
Epoch:44 Loss:0.55607593
Epoch:45 Loss:0.55535331
Epoch:46 Loss:0.54556425
Epoch:47 Loss:0.55136592
Epoch:48 Loss:0.54498664
Epoch:49 Loss:0.55039592
Epoch:50 Loss:0.54224741
Epoch:51 Loss:0.54159563
Epoch:52 Loss:0.54063293
Epoch:53 Loss:0.53626407
Epoch:54 Loss:0.53307954
Epoch:55 Loss:0.53054378
Epoch:56 Loss:0.53963001
Epoch:57 Loss:0.52870372
Epoch:58 Loss:0.51877227
Epoch:59 Loss:0.52717579
Epoch:60 Loss:0.52274495
Epoch:61 Loss:0.50881805
Epoch:62 Loss:0.51368517
Epoch:63 Loss:0.51069976
Epoch:64 Loss:0.50753671
Epoch:65 Loss:0.50715984
Epoch:66 Loss:0.50285972
Epoch:67 Loss:0.50042670
Epoch:68 Loss:0.49809730
Epoch:69 Loss:0.50585641
Epoch:70 Loss:0.49898889
Epoch:71 Loss:0.49620342
Epoch:72 Loss:0.49503766
Epoch:73 Loss:0.50068677
Epoch:74 Loss:0.48970278
Epoch:75 Loss:0.49658734
Epoch:76 Loss:0.49187407
Epoch:77 Loss:0.48848057
Epoch:78 Loss:0.48701182
Epoch:79 Loss:0.48554183
Epoch:80 Loss:0.48259889
Epoch:81 Loss:0.47609796
Epoch:82 Loss:0.48077732
Epoch:83 Loss:0.47859836
Epoch:84 Loss:0.47201051
Epoch:85 Loss:0.47380854
Epoch:86 Loss:0.47400121
Epoch:87 Loss:0.48137783
Epoch:88 Loss:0.46765481
Epoch:89 Loss:0.46520541
Epoch:90 Loss:0.46524926
Epoch:91 Loss:0.46572274
Epoch:92 Loss:0.46794032
Epoch:93 Loss:0.47103821
Epoch:94 Loss:0.46588132
Epoch:95 Loss:0.45200318
Epoch:96 Loss:0.45162800
Epoch:97 Loss:0.45826435
Epoch:98 Loss:0.45680018
Epoch:99 Loss:0.46402884

 Contrast Score Margin:2.23136
AUC:0.9139

 run time: 
00:01:34.901
