subgraph_size,gamma,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
2,0,0.8473,1.92085,1.26494,1.91523,0.6931472063064575,0.692216831445694
2,0.001,0.8470,1.91006,1.26396,1.91535,0.693160891532898,0.6953165054321289
2,0.1,0.8530,1.84414,1.31070,2.06166,0.694480049610138,0.6911938607692718
2,0.2,0.8777,1.87519,1.34787,2.16290,0.6958096265792847,0.6776788294315338
2,0.3,0.8961,1.82942,1.40994,2.31590,0.6971388280391693,0.6744959086179734
2,0.4,0.8977,1.82601,1.44374,2.42981,0.6984679460525512,0.6970138639211655
2,0.5,0.8977,1.79536,1.45504,2.52149,0.6997971415519715,0.6917974889278412
2,0.6,0.8997,1.76885,1.43307,2.57791,0.7011262893676757,0.6724611699581147
2,0.7,0.9034,1.72658,1.44637,2.67728,0.7024554312229156,0.6677586376667023
2,0.8,0.9050,1.74276,1.52404,2.83666,0.7037846326828003,0.6644493609666824
2,0.9,0.9064,1.71468,1.54053,2.94281,0.7051137983798981,0.6676747471094131
2,0.99,0.9099,1.69837,1.54627,3.02550,0.7063099801540375,0.6713086307048798
2,1.0,0.9086,1.66951,1.53770,3.02479,0.7064436674118042,0.6369988918304443
3,0,0.8741,2.26157,1.31643,1.94516,0.7011464655399322,0.5231904685497284
3,0.001,0.8725,2.24710,1.32085,1.96192,0.7011602222919464,0.5182464003562928
3,0.1,0.8860,2.21397,1.32822,2.03311,0.702480810880661,0.5231229454278946
3,0.2,0.8927,2.14262,1.29754,2.08223,0.7038113832473755,0.5284140348434448
3,0.3,0.8897,2.07397,1.29282,2.17324,0.7051415920257569,0.5545824319124222
3,0.4,0.8928,2.00314,1.29952,2.26384,0.7064716398715973,0.5642183184623718
3,0.5,0.8971,1.94249,1.29251,2.33406,0.7078016221523284,0.5721864461898803
3,0.6,0.8982,1.87779,1.29762,2.41810,0.7091315686702728,0.5591796815395356
3,0.7,0.8992,1.82933,1.31561,2.52442,0.7104615092277526,0.5624297976493835
3,0.8,0.8996,1.79449,1.32925,2.62206,0.7117913603782654,0.5598296642303466
3,0.9,0.8981,1.76046,1.36276,2.74437,0.7131213247776031,0.5604711651802063
3,0.99,0.8967,1.72837,1.35228,2.80985,0.7143182337284089,0.5662135481834412
3,1.0,0.8964,1.72992,1.35941,2.82551,0.7144512474536896,0.567190968990326
4,0,0.8911,2.35282,1.48310,2.10267,0.7051417589187622,0.49532215893268583
4,0.001,0.8912,2.35257,1.48623,2.10685,0.7051555275917053,0.49693842232227325
4,0.1,0.8997,2.25683,1.41415,2.11410,0.7064826667308808,0.5168430775403976
4,0.2,0.8936,2.14742,1.38894,2.17934,0.7078204810619354,0.5341785609722137
4,0.3,0.9042,2.11800,1.38969,2.25415,0.7091578423976899,0.5394529640674591
4,0.4,0.9034,2.05384,1.40971,2.35748,0.7104949653148651,0.52696672976017
4,0.5,0.9005,1.98764,1.39570,2.43115,0.7118319153785706,0.5294954031705856
4,0.6,0.8981,1.94079,1.37205,2.49312,0.7131688058376312,0.5359687983989716
4,0.7,0.8965,1.89656,1.39628,2.59966,0.7145055830478668,0.5378113180398941
4,0.8,0.8994,1.80581,1.42366,2.73089,0.7158423125743866,0.5436088502407074
4,0.9,0.8934,1.81707,1.42224,2.79792,0.7171790659427643,0.5448378533124923
4,0.99,0.8942,1.78615,1.44012,2.89524,0.7183820724487304,0.5370673060417175
4,1.0,0.8955,1.79371,1.49402,2.96533,0.7185157537460327,0.5267795205116272
5,0,0.8607,2.37549,1.35518,1.97353,0.7011432111263275,0.5245595067739487
5,0.001,0.8608,2.37357,1.35362,1.97256,0.7011569499969482,0.5247927933931351
5,0.1,0.8784,2.30791,1.37010,2.06356,0.7024843156337738,0.5210704028606414
5,0.2,0.8874,2.20622,1.32364,2.09537,0.7038219332695007,0.5341234624385833
5,0.3,0.8910,2.09801,1.26995,2.12353,0.7051587283611298,0.5369005650281906
5,0.4,0.8958,2.00128,1.27464,2.21106,0.7064955294132232,0.5420265138149262
5,0.5,0.8983,1.93691,1.29289,2.31316,0.7078322350978852,0.5231445163488389
5,0.6,0.9010,1.88716,1.32185,2.42828,0.7091688394546509,0.5357933968305588
5,0.7,0.8994,1.84972,1.35617,2.55097,0.7105055630207062,0.5200247555971146
5,0.8,0.8995,1.79884,1.34018,2.62151,0.7118419170379638,0.5235980242490769
5,0.9,0.8973,1.76526,1.34879,2.71851,0.7131784677505493,0.5166168928146362
5,0.99,0.8961,1.73793,1.35825,2.80496,0.7143813967704773,0.5189537614583969
5,1.0,0.8981,1.73719,1.38365,2.84353,0.7145150363445282,0.519646766781807
6,0,0.8593,2.27523,1.53537,2.16067,0.707805621623993,0.4976009130477905
6,0.001,0.8596,2.27143,1.53349,2.15964,0.7078194081783294,0.49156794846057894
6,0.1,0.8741,2.18966,1.39333,2.09065,0.7104867815971374,0.5083757758140564
6,0.2,0.8803,2.11364,1.33837,2.11212,0.7104979574680328,0.5023235738277435
6,0.3,0.8840,2.04270,1.34364,2.19554,0.7118417799472809,0.507357120513916
6,0.4,0.8880,1.97887,1.35225,2.28715,0.7131851613521576,0.5119571685791016
6,0.5,0.8870,1.91732,1.36563,2.38635,0.7145284354686737,0.5199181467294693
6,0.6,0.8891,1.86526,1.38417,2.48668,0.7158715665340424,0.5185906320810318
6,0.7,0.8877,1.81377,1.37571,2.56694,0.7172146737575531,0.5162993967533112
6,0.8,0.8885,1.77531,1.35186,2.62448,0.7185577630996705,0.5228870213031769
6,0.9,0.8860,1.72874,1.34162,2.69473,0.7199008941650391,0.514201545715332
6,0.99,0.8836,1.70913,1.37131,2.80612,0.7211094915866851,0.510360249876976
6,1.0,0.8838,1.70078,1.37414,2.82321,0.7212437987327576,0.5178880959749221
7,0,0.8750,2.23999,1.43131,2.05854,0.7091374576091767,0.5379728823900223
7,0.001,0.8749,2.23567,1.42914,2.05718,0.7091512382030487,0.5372920334339142
7,0.1,0.8865,2.18476,1.50905,2.21647,0.7104808807373046,0.5418750137090683
7,0.2,0.8913,2.14131,1.51839,2.30282,0.7118200659751892,0.5255261540412903
7,0.3,0.8884,2.03767,1.50258,2.38060,0.7131589770317077,0.5373056203126907
7,0.4,0.8894,2.01806,1.48950,2.43713,0.7144976139068604,0.5319191962480545
7,0.5,0.8909,1.91705,1.46465,2.51108,0.7158360660076142,0.523991984128952
7,0.6,0.8890,1.85608,1.48087,2.61322,0.717174482345581,0.523859229683876
7,0.7,0.8871,1.81941,1.45857,2.67315,0.7185128271579743,0.5221438765525818
7,0.8,0.8866,1.78843,1.47472,2.76974,0.7198510766029358,0.5283351004123688
7,0.9,0.8864,1.75189,1.46679,2.85049,0.7211893498897552,0.5193626314401627
7,0.99,0.8840,1.72056,1.47007,2.93289,0.7237270593643188,0.5127800554037094
7,1.0,0.8841,1.71036,1.47404,2.94973,0.7238608658313751,0.508940863609314
8,0,0.8615,2.32287,1.43316,2.05569,0.7038060128688812,0.5679218292236328
8,0.001,0.8604,2.31006,1.43616,2.06238,0.7038198292255402,0.5655710399150848
8,0.1,0.8681,2.18686,1.35446,2.05562,0.7064834833145142,0.5432695329189301
8,0.2,0.8677,2.06287,1.34070,2.12237,0.7118237614631653,0.5445947825908661
8,0.3,0.8736,1.98987,1.32711,2.19387,0.7118301033973694,0.5486738532781601
8,0.4,0.8704,1.91995,1.29000,2.23326,0.7145026803016663,0.5592115581035614
8,0.5,0.8715,1.86840,1.29535,2.32561,0.7171753823757172,0.5572525262832642
8,0.6,0.8716,1.81679,1.29859,2.41663,0.7171812415122986,0.5387047290802002
8,0.7,0.8793,1.78096,1.33808,2.54229,0.7171870172023773,0.5368654817342758
8,0.8,0.8726,1.74090,1.34498,2.63468,0.7185261130332947,0.5299736380577087
8,0.9,0.8732,1.70318,1.33838,2.71488,0.7185317695140838,0.5406460791826249
8,0.99,0.8736,1.67886,1.35427,2.80788,0.8210701763629913,0.5395172536373138
